code_organe,code_deputy
PO746669,PA2155
PO763249,PA2155
PO732964,PA2155
PO733627,PA2155
PO733512,PA2155
PO733512,PA2155
PO732964,PA2155
PO717460,PA2155
PO710396,PA223837
PO733047,PA223837
PO741916,PA223837
PO756933,PA223837
PO730934,PA223837
PO419604,PA223837
PO746987,PA223837
PO746689,PA223837
PO746684,PA223837
PO733127,PA223837
PO733367,PA223837
PO733297,PA223837
PO733412,PA223837
PO733482,PA223837
PO733567,PA223837
PO732974,PA223837
PO733312,PA223837
PO733202,PA223837
PO733397,PA223837
PO733472,PA223837
PO733502,PA223837
PO733632,PA223837
PO732919,PA223837
PO733632,PA223837
PO733367,PA223837
PO717460,PA223837
PO717460,PA223837
PO744127,PA2377
PO710396,PA2377
PO206064,PA2377
PO206064,PA2377
PO733217,PA2377
PO733217,PA2377
PO730934,PA2377
PO420120,PA2377
PO60179,PA2377
PO747215,PA2377
PO747047,PA2377
PO746644,PA2377
PO746689,PA2377
PO747145,PA2377
PO746852,PA2377
PO747022,PA2377
PO746880,PA2377
PO763244,PA2377
PO746669,PA2377
PO747266,PA2377
PO746679,PA2377
PO751484,PA2377
PO746763,PA2377
PO746649,PA2377
PO763259,PA2377
PO747266,PA2377
PO746915,PA2377
PO763244,PA2377
PO746987,PA2377
PO746904,PA2377
PO746618,PA2377
PO747104,PA2377
PO747109,PA2377
PO747160,PA2377
PO746992,PA2377
PO747261,PA2377
PO747057,PA2377
PO747276,PA2377
PO747084,PA2377
PO746806,PA2377
PO746925,PA2377
PO763264,PA2377
PO746659,PA2377
PO733347,PA2377
PO733437,PA2377
PO733457,PA2377
PO733347,PA2377
PO733517,PA2377
PO733607,PA2377
PO733587,PA2377
PO733627,PA2377
PO733322,PA2377
PO733678,PA2377
PO732979,PA2377
PO733057,PA2377
PO733102,PA2377
PO733177,PA2377
PO733127,PA2377
PO733197,PA2377
PO733057,PA2377
PO733302,PA2377
PO733587,PA2377
PO733317,PA2377
PO733387,PA2377
PO733342,PA2377
PO733417,PA2377
PO733197,PA2377
PO733452,PA2377
PO733072,PA2377
PO733472,PA2377
PO733597,PA2377
PO733567,PA2377
PO733617,PA2377
PO733642,PA2377
PO732974,PA2377
PO733032,PA2377
PO733072,PA2377
PO733302,PA2377
PO733117,PA2377
PO732944,PA2377
PO733187,PA2377
PO732944,PA2377
PO733157,PA2377
PO733267,PA2377
PO733177,PA2377
PO733307,PA2377
PO733567,PA2377
PO733617,PA2377
PO733322,PA2377
PO733412,PA2377
PO420120,PA2377
PO763259,PA2377
PO763264,PA2377
PO747261,PA2377
PO746659,PA2377
PO733307,PA2377
PO717460,PA2377
PO415287,PA2449
PO768830,PA2449
PO761294,PA2449
PO201115,PA2449
PO766718,PA2449
PO763346,PA2449
PO730964,PA2449
PO59051,PA2449
PO763264,PA2449
PO746925,PA2449
PO747042,PA2449
PO751484,PA2449
PO747251,PA2449
PO751484,PA2449
PO746644,PA2449
PO746832,PA2449
PO747286,PA2449
PO733122,PA2449
PO733402,PA2449
PO733447,PA2449
PO733402,PA2449
PO733377,PA2449
PO733532,PA2449
PO746925,PA2449
PO733447,PA2449
PO733377,PA2449
PO733532,PA2449
PO717460,PA2449
PO415287,PA2492
PO675659,PA2492
PO734384,PA2492
PO710396,PA2492
PO782338,PA2492
PO733622,PA2492
PO782338,PA2492
PO717436,PA2492
PO675659,PA2492
PO734384,PA2492
PO730934,PA2492
PO59047,PA2492
PO60174,PA2492
PO747135,PA2492
PO751484,PA2492
PO747084,PA2492
PO746972,PA2492
PO746634,PA2492
PO747235,PA2492
PO747195,PA2492
PO746832,PA2492
PO746811,PA2492
PO747241,PA2492
PO746957,PA2492
PO746857,PA2492
PO746977,PA2492
PO751484,PA2492
PO747190,PA2492
PO746684,PA2492
PO746832,PA2492
PO747281,PA2492
PO747042,PA2492
PO746791,PA2492
PO747175,PA2492
PO747104,PA2492
PO747047,PA2492
PO746629,PA2492
PO746649,PA2492
PO747002,PA2492
PO746669,PA2492
PO747042,PA2492
PO747241,PA2492
PO746982,PA2492
PO733057,PA2492
PO733107,PA2492
PO733412,PA2492
PO733307,PA2492
PO733382,PA2492
PO733342,PA2492
PO733487,PA2492
PO733292,PA2492
PO733322,PA2492
PO733572,PA2492
PO733597,PA2492
PO733627,PA2492
PO733072,PA2492
PO733187,PA2492
PO733372,PA2492
PO733072,PA2492
PO733322,PA2492
PO733417,PA2492
PO733567,PA2492
PO733577,PA2492
PO733637,PA2492
PO733607,PA2492
PO733512,PA2492
PO732954,PA2492
PO746957,PA2492
PO733307,PA2492
PO733412,PA2492
PO717460,PA2492
PO710396,PA2529
PO58974,PA2529
PO760010,PA2529
PO733622,PA2529
PO760010,PA2529
PO743166,PA2529
PO730934,PA2529
PO59047,PA2529
PO763244,PA2529
PO747032,PA2529
PO746930,PA2529
PO747175,PA2529
PO747276,PA2529
PO747094,PA2529
PO751484,PA2529
PO746920,PA2529
PO746982,PA2529
PO747256,PA2529
PO746982,PA2529
PO747200,PA2529
PO746644,PA2529
PO747225,PA2529
PO733397,PA2529
PO733442,PA2529
PO733482,PA2529
PO733457,PA2529
PO733612,PA2529
PO732984,PA2529
PO733632,PA2529
PO732949,PA2529
PO733022,PA2529
PO733037,PA2529
PO733672,PA2529
PO733092,PA2529
PO733157,PA2529
PO733452,PA2529
PO733127,PA2529
PO733297,PA2529
PO733187,PA2529
PO733167,PA2529
PO733207,PA2529
PO733612,PA2529
PO733237,PA2529
PO733342,PA2529
PO733297,PA2529
PO733367,PA2529
PO733082,PA2529
PO733407,PA2529
PO733452,PA2529
PO733497,PA2529
PO733472,PA2529
PO733597,PA2529
PO733362,PA2529
PO732974,PA2529
PO733617,PA2529
PO733001,PA2529
PO733683,PA2529
PO733032,PA2529
PO733672,PA2529
PO733082,PA2529
PO733147,PA2529
PO733037,PA2529
PO733117,PA2529
PO733167,PA2529
PO733202,PA2529
PO733232,PA2529
PO733222,PA2529
PO733317,PA2529
PO733282,PA2529
PO733287,PA2529
PO733362,PA2529
PO747032,PA2529
PO733022,PA2529
PO733407,PA2529
PO733127,PA2529
PO733187,PA2529
PO733147,PA2529
PO733092,PA2529
PO717460,PA2529
PO710396,PA266776
PO201115,PA266776
PO304272,PA266776
PO783255,PA266776
PO741916,PA266776
PO783255,PA266776
PO756933,PA266776
PO730934,PA266776
PO419604,PA266776
PO394845,PA266776
PO747057,PA266776
PO746935,PA266776
PO763254,PA266776
PO746654,PA266776
PO746624,PA266776
PO746847,PA266776
PO747241,PA266776
PO746904,PA266776
PO747261,PA266776
PO746821,PA266776
PO746930,PA266776
PO763254,PA266776
PO747266,PA266776
PO747027,PA266776
PO747215,PA266776
PO747022,PA266776
PO747062,PA266776
PO746763,PA266776
PO747099,PA266776
PO747104,PA266776
PO746811,PA266776
PO733187,PA266776
PO733587,PA266776
PO733642,PA266776
PO733182,PA266776
PO733572,PA266776
PO733437,PA266776
PO733607,PA266776
PO733412,PA266776
PO733072,PA266776
PO733537,PA266776
PO747057,PA266776
PO747022,PA266776
PO746811,PA266776
PO746904,PA266776
PO733587,PA266776
PO717460,PA266776
PO732748,PA266788
PO420375,PA266788
PO768830,PA266788
PO744864,PA266788
PO206064,PA266788
PO304272,PA266788
PO782990,PA266788
PO743840,PA266788
PO271850,PA266788
PO771889,PA266788
PO59051,PA266788
PO308067,PA266788
PO747099,PA266788
PO763234,PA266788
PO746925,PA266788
PO747062,PA266788
PO747261,PA266788
PO751484,PA266788
PO746857,PA266788
PO763264,PA266788
PO747057,PA266788
PO747251,PA266788
PO746930,PA266788
PO747160,PA266788
PO746880,PA266788
PO747246,PA266788
PO746669,PA266788
PO747094,PA266788
PO763264,PA266788
PO746904,PA266788
PO747002,PA266788
PO763244,PA266788
PO746649,PA266788
PO747084,PA266788
PO747057,PA266788
PO747241,PA266788
PO733312,PA266788
PO733522,PA266788
PO732949,PA266788
PO733167,PA266788
PO733597,PA266788
PO733152,PA266788
PO733182,PA266788
PO733322,PA266788
PO733647,PA266788
PO733072,PA266788
PO785819,PA266788
PO747094,PA266788
PO746930,PA266788
PO747251,PA266788
PO746925,PA266788
PO747099,PA266788
PO747241,PA266788
PO747160,PA266788
PO747002,PA266788
PO747062,PA266788
PO746669,PA266788
PO763234,PA266788
PO747246,PA266788
PO746880,PA266788
PO746904,PA266788
PO746649,PA266788
PO747261,PA266788
PO733312,PA266788
PO733522,PA266788
PO733597,PA266788
PO717460,PA266788
PO717460,PA266788
PO710396,PA266793
PO780850,PA266793
PO730934,PA266793
PO419865,PA266793
PO746880,PA266793
PO747241,PA266793
PO746811,PA266793
PO747094,PA266793
PO763244,PA266793
PO747099,PA266793
PO747057,PA266793
PO747084,PA266793
PO746811,PA266793
PO747246,PA266793
PO733427,PA266793
PO733672,PA266793
PO733552,PA266793
PO733242,PA266793
PO732979,PA266793
PO733292,PA266793
PO733352,PA266793
PO733522,PA266793
PO733627,PA266793
PO733107,PA266793
PO732944,PA266793
PO733262,PA266793
PO733322,PA266793
PO747246,PA266793
PO747099,PA266793
PO733552,PA266793
PO733522,PA266793
PO717460,PA266793
PO58996,PA266797
PO675659,PA266797
PO710396,PA266797
PO766497,PA266797
PO734384,PA266797
PO766497,PA266797
PO773655,PA266797
PO206064,PA266797
PO743840,PA266797
PO743840,PA266797
PO780015,PA266797
PO780015,PA266797
PO733217,PA266797
PO766718,PA266797
PO784682,PA266797
PO60185,PA266797
PO717436,PA266797
PO773655,PA266797
PO734384,PA266797
PO730934,PA266797
PO206064,PA266797
PO733217,PA266797
PO59051,PA266797
PO763244,PA266797
PO746763,PA266797
PO747200,PA266797
PO746612,PA266797
PO747160,PA266797
PO746962,PA266797
PO746689,PA266797
PO747261,PA266797
PO747160,PA266797
PO746925,PA266797
PO746669,PA266797
PO746880,PA266797
PO746837,PA266797
PO746832,PA266797
PO746763,PA266797
PO746962,PA266797
PO747104,PA266797
PO746634,PA266797
PO746915,PA266797
PO747140,PA266797
PO746674,PA266797
PO733082,PA266797
PO732974,PA266797
PO733072,PA266797
PO733117,PA266797
PO733577,PA266797
PO733322,PA266797
PO733562,PA266797
PO733437,PA266797
PO733607,PA266797
PO733678,PA266797
PO733678,PA266797
PO732974,PA266797
PO733627,PA266797
PO732984,PA266797
PO732984,PA266797
PO733082,PA266797
PO733192,PA266797
PO733517,PA266797
PO733412,PA266797
PO733567,PA266797
PO733627,PA266797
PO733698,PA266797
PO59051,PA266797
PO733437,PA266797
PO717460,PA266797
PO710396,PA266808
PO201115,PA266808
PO730934,PA266808
PO419610,PA266808
PO746659,PA266808
PO763254,PA266808
PO763264,PA266808
PO746689,PA266808
PO747002,PA266808
PO746634,PA266808
PO747057,PA266808
PO746669,PA266808
PO746915,PA266808
PO747094,PA266808
PO747215,PA266808
PO747099,PA266808
PO746880,PA266808
PO746649,PA266808
PO747241,PA266808
PO763234,PA266808
